{section}

{table-plus}
|| User || Type || Enabled || Allowed ||
|greene | U | True | False |
|powart | U | True | False |
|marshajo | U | True | False |
|delacruz | U | True | False |
|sancheza | U | True | False |
|127000370 | U | True | False |
|127000269 | U | True | False |
|127002113 | U | True | False |
|127001843 | U | True | False |
|127002244 | U | True | False |
|rappaij | U | True | False |
|mendeza | U | True | False |
|hurerf | U | True | False |
|montef | U | True | False |
|mehrdadf | U | True | False |
|rudomets | U | True | False |
|taylore | U | True | False |
|watsonr | U | True | False |
|bridere | U | True | False |
|leej | U | True | False |
|valachia | U | True | False |
|altj | U | True | False |
|lowej | U | True | False |
|acostas | U | True | False |
|bellingr | U | True | False |
|eldridgr | U | True | False |
|grubenh | U | True | False |
|shawr | U | True | False |
|bernardg | U | True | False |
|pylek | U | True | False |
|stoffelt | U | True | False |
|theriaul | U | True | False |
|pinets | U | True | False |
|eyamier | U | True | False |
|staubins | U | True | False |
|beaverc | U | True | False |
|kollers | U | True | False |
|reddyhar | U | True | False |
|fraserb | U | True | False |
|gouderp | U | True | False |
|bishtm | U | True | False |
|greene | U | True | False |
|powart | U | True | False |
|marshajo | U | True | False |
|delacruz | U | True | False |
|sancheza | U | True | False |
|127000370 | U | True | False |
|127000269 | U | True | False |
|127002113 | U | True | False |
|127001843 | U | True | False |
|127002244 | U | True | False |
|rappaij | U | True | False |
|mendeza | U | True | False |
|hurerf | U | True | False |
|montef | U | True | False |
|mehrdadf | U | True | False |
|rudomets | U | True | False |
|taylore | U | True | False |
|watsonr | U | True | False |
|bridere | U | True | False |
|leej | U | True | False |
|valachia | U | True | False |
|altj | U | True | False |
|lowej | U | True | False |
|gillr | U | True | False |
|acostas | U | True | False |
|bellingr | U | True | False |
|eldridgr | U | True | False |
|grubenh | U | True | False |
|shawr | U | True | False |
|bernardg | U | True | False |
|pylek | U | True | False |
|stoffelt | U | True | False |
|theriaul | U | True | False |
|pinets | U | True | False |
|eyamier | U | True | False |
|staubins | U | True | False |
|beaverc | U | True | False |
|kollers | U | True | False |
|reddyhar | U | True | False |
|fraserb | U | True | False |
|bishtm | U | True | False |
|greene | U | True | False |
|powart | U | True | False |
|marshajo | U | True | False |
|delacruz | U | True | False |
|sancheza | U | True | False |
|127000370 | U | True | False |
|127000269 | U | True | False |
|127002113 | U | True | False |
|127001843 | U | True | False |
|127002244 | U | True | False |
|rappaij | U | True | False |
|mendeza | U | True | False |
|hurerf | U | True | False |
|montef | U | True | False |
|mehrdadf | U | True | False |
|rudomets | U | True | False |
|taylore | U | True | False |
|watsonr | U | True | False |
|bridere | U | True | False |
|leej | U | True | False |
|valachia | U | True | False |
|altj | U | True | False |
|lowej | U | True | False |
|gillr | U | True | False |
|acostas | U | True | False |
|bellingr | U | True | False |
|eldridgr | U | True | False |
|grubenh | U | True | False |
|shawr | U | True | False |
|bernardg | U | True | False |
|pylek | U | True | False |
|stoffelt | U | True | False |
|theriaul | U | True | False |
|pinets | U | True | False |
|eyamier | U | True | False |
|staubins | U | True | False |
|beaverc | U | True | False |
|kollers | U | True | False |
|reddyhar | U | True | False |
|fraserb | U | True | False |
|bishtm | U | True | False |
|greene | U | True | False |
|powart | U | True | False |
|marshajo | U | True | False |
|delacruz | U | True | False |
|sancheza | U | True | False |
|127000370 | U | True | False |
|127000269 | U | True | False |
|127002113 | U | True | False |
|127001843 | U | True | False |
|127002244 | U | True | False |
|rappaij | U | True | False |
|mendeza | U | True | False |
|hurerf | U | True | False |
|montef | U | True | False |
|mehrdadf | U | True | False |
|rudomets | U | True | False |
|taylore | U | True | False |
|watsonr | U | True | False |
|bridere | U | True | False |
|leej | U | True | False |
|valachia | U | True | False |
|altj | U | True | False |
|lowej | U | True | False |
|gillr | U | True | False |
|acostas | U | True | False |
|bellingr | U | True | False |
|eldridgr | U | True | False |
|grubenh | U | True | False |
|shawr | U | True | False |
|bernardg | U | True | False |
|pylek | U | True | False |
|stoffelt | U | True | False |
|theriaul | U | True | False |
|pinets | U | True | False |
|eyamier | U | True | False |
|staubins | U | True | False |
|beaverc | U | True | False |
|kollers | U | True | False |
|reddyhar | U | True | False |
|fraserb | U | True | False |
|bishtm | U | True | False |
|harbord | U | True | False |
|greene | U | True | False |
|tonpem | U | True | False |
|jagadees | U | True | False |
|sabirm | U | True | False |
|masroora | U | True | False |
|shuklat | U | True | False |
|jannotti | U | True | False |
|soodr | U | True | False |
|kotis | U | True | False |
|staubins | U | True | False |
|vyasrash | U | True | False |
|dortenzs | U | True | False |
|aimann | U | True | False |
|vineetf | U | True | False |
|ethiers | U | True | False |
|zanottif | U | True | False |
|sawantp | U | True | False |
|powart | U | True | False |
|sanikomm | U | True | False |
|lydonm | U | True | False |
|shlyamd | U | True | False |
|bhatiaj | U | True | False |
|nairs | U | True | False |
|goparaju | U | True | False |
|zeller | U | True | False |
|ortizc | U | True | False |
|lawrence | U | True | False |
|devanis | U | True | False |
|mhaskara | U | True | False |
|jaripatp | U | True | False |
|raop | U | True | False |
|ponkshea | U | True | False |
|aladarm | U | True | False |
|georgek | U | True | False |
|vibhutea | U | True | False |
|chitrea | U | True | False |
|muthar | U | True | False |
|shahr | U | True | False |
|ladr | U | True | False |
|chibaden | U | True | False |
|zhangf | U | True | False |
|vernala | U | True | False |
|rajeevs | U | True | False |
|watsonr | U | True | False |
|bridere | U | True | False |
|leej | U | True | False |
|valachia | U | True | False |
|altj | U | True | False |
|lowej | U | True | False |
|gillr | U | True | False |
|acostas | U | True | False |
|bellingr | U | True | False |
|eldridrg | U | True | False |
|grubenh | U | True | False |
|shawr | U | True | False |
|bernardg | U | True | False |
|stoffelt | U | True | False |
|theriaul | U | True | False |
|pinets | U | True | False |
|eyamier | U | True | False |
|beaverc | U | True | False |
|swaina | U | True | False |
|fraserb | U | True | False |
|joep | U | True | False |
|harbord | U | True | False |
|greene | U | True | False |
|tonpem | U | True | False |
|jagadees | U | True | False |
|sabirm | U | True | False |
|masroora | U | True | False |
|shuklat | U | True | False |
|jannotti | U | True | False |
|staubins | U | True | False |
|mtata | U | True | False |
|kotis | U | True | False |
|soodr | U | True | False |
|vyasrash | U | True | False |
|summer | U | True | False |
|dortenzs | U | True | False |
|aimann | U | True | False |
|vineetf | U | True | False |
|ethiers | U | True | False |
|zanottif | U | True | False |
|sawantp | U | True | False |
|powart | U | True | False |
|sanikomm | U | True | False |
|lydonm | U | True | False |
|shlyamd | U | True | False |
|bhatiaj | U | True | False |
|narasimp | U | True | False |
|anthonyr | U | True | False |
|carpentj | U | True | False |
|goparaju | U | True | False |
|zeller | U | True | False |
|ortizc | U | True | False |
|lawrence | U | True | False |
|devanis | U | True | False |
|mhaskara | U | True | False |
|jaripatp | U | True | False |
|raop | U | True | False |
|ponkshea | U | True | False |
|aladarm | U | True | False |
|georgek | U | True | False |
|vibhutea | U | True | False |
|chitrea | U | True | False |
|muthar | U | True | False |
|shahr | U | True | False |
|ladr | U | True | False |
|chibaden | U | True | False |
|zhangf | U | True | False |
|vernala | U | True | False |
|nairs | U | True | False |
|rajeevs | U | True | False |
|fraserb | U | True | False |
|harbord | U | True | False |
